index,label,cluster,is_critical
715,MAK21,2,0
716,MAK5,2,0
717,MAM1,2,0
718,MBA1,1,1
719,MBP1,2,0
720,MCD1,2,0
721,MCK1,2,0
722,MCM1,2,0
723,MCM10,2,0
724,MCM16,1,1
725,MCM2,2,0
726,MCM21,1,1
727,MCM22,2,0
728,MCM3,2,0
729,MCM4,2,0
730,MCM5,1,1
731,MCM6,2,0
732,MCM7,2,0
733,MDH3,2,0
734,MDJ1,2,0
735,MDM10,2,0
736,MDM12,2,0
737,MDM30,2,0
738,MDM34,2,0
739,MDM35,2,0
740,MDM36,1,1
741,MDM38,2,0
742,MDN1,2,0
743,MDV1,2,0
744,MDY2,2,0
745,MEC1,2,0
746,MEC3,2,0
747,MED1,2,0
748,MED11,1,1
749,MED2,2,0
750,MED4,1,1
751,MED6,2,0
752,MED7,2,0
753,MED8,2,0
754,MEF1,2,0
755,MEH1,2,0
756,MEI5,1,1
757,MEK1,2,0
758,MET17,2,0
759,MET18,2,0
760,MET28,2,0
761,MET30,2,0
762,MET4,2,0
763,MEX67,2,0
764,MFA2,2,0
765,MFB1,2,0
766,MFT1,2,0
767,MGA2,2,0
768,MGE1,2,0
769,MGM1,2,0
770,MGM101,2,0
771,MGR2,1,1
772,MHF1,1,1
773,MHF2,2,0
774,MHP1,2,0
775,MIA40,2,0
776,MIC10,2,0
777,MIC12,2,0
778,MIC19,2,0
779,MIC26,2,0
780,MIC27,2,0
781,MIC60,2,0
782,MIF2,2,0
783,MIG1,2,0
784,MIX14,1,1
785,MIX23,2,0
786,MKK1,2,0
787,MKK2,2,0
788,MKS1,2,0
789,MLC1,2,0
790,MLC2,1,1
791,MLH1,2,0
792,MLH2,2,0
793,MLH3,2,0
794,MLP1,2,0
795,MLP2,2,0
796,MMM1,2,0
797,MMR1,2,0
798,MMS1,2,0
799,MMS2,2,0
800,MMS21,2,0
801,MMS22,2,0
802,MMS4,2,0
803,MND2,2,0
804,MNP1,2,0
805,MOB1,2,0
806,MOB2,2,0
807,MOG1,2,0
808,MOT1,2,0
809,MOT2,2,0
810,MOT3,2,0
811,MPE1,2,0
812,MPH1,2,0
813,MPP10,2,0
814,MPP6,2,0
815,MPS1,1,1
816,MPS2,2,0
817,MPS3,2,0
818,MPT5,2,0
819,MRC1,2,0
820,MRE11,2,0
821,MRP13,2,0
822,MRP2,1,1
823,MRP20,2,0
824,MRP21,2,0
825,MRP4,1,1
826,MRP49,2,0
827,MRP51,2,0
828,MRP7,2,0
829,MRPL1,2,0
830,MRPL16,2,0
831,MRPL17,2,0
832,MRPL19,2,0
833,MRPL20,2,0
834,MRPL22,2,0
835,MRPL23,1,1
836,MRPL24,2,0
837,MRPL25,2,0
838,MRPL27,2,0
839,MRPL28,2,0
840,MRPL3,2,0
841,MRPL35,2,0
842,MRPL4,2,0
843,MRPL40,2,0
844,MRPL44,2,0
845,MRPL6,2,0
846,MRPL7,2,0
847,MRPL8,2,0
848,MRPS17,2,0
849,MRPS18,2,0
850,MRPS28,2,0
851,MRPS35,1,1
852,MRPS5,2,0
853,MRPS9,2,0
854,MRS2,2,0
855,MRS6,2,0
856,MRT4,2,0
857,MSA1,2,0
858,MSB2,2,0
859,MSB3,2,0
860,MSC6,2,0
861,MSD1,2,0
862,MSF1,2,0
863,MSG5,2,0
864,MSH2,2,0
865,MSH3,2,0
866,MSH6,2,0
867,MSI1,2,0
868,MSL1,2,0
869,MSL5,2,0
870,MSM1,2,0
871,MSN5,2,0
872,MSO1,2,0
873,MSS116,2,0
874,MSS2,2,0
875,MSS51,2,0
876,MTC5,2,0
877,MTF1,2,0
878,MTH1,2,0
879,MTO1,2,0
880,MTQ2,2,0
881,MTR10,2,0
882,MTR2,2,0
883,MTR3,2,0
884,MTR4,2,0
885,MTW1,2,0
886,MUD1,1,1
887,MUD2,2,0
888,MUK1,2,0
889,MUS81,2,0
890,MVB12,2,0
891,MYO1,2,0
892,MYO2,2,0
893,MYO3,2,0
894,MYO4,2,0
895,MYO5,2,0
896,MZM1,2,0
897,NAB2,2,0
898,NAB3,2,0
899,NAF1,2,0
900,NAM7,2,0
901,NAM8,2,0
902,NAM9,2,0
903,NAN1,2,0
904,NAP1,1,1
905,NAS2,2,0
906,NAS6,1,1
907,NBA1,2,0
908,NBL1,2,0
909,NBP1,2,0
910,NBP2,1,1
911,NCB2,2,0
912,NCE101,2,0
913,NCP1,2,0
914,NDC1,2,0
915,NDC80,2,0
916,NDD1,2,0
917,NDJ1,2,0
918,NDL1,2,0
919,NEJ1,2,0
920,NEM1,2,0
921,NET1,2,0
922,NFI1,2,0
923,NGG1,2,0
924,NGR1,2,0
925,NHP10,2,0
926,NHP2,1,1
927,NIC96,2,0
928,NIP1,2,0
929,NIP100,2,0
930,NIP7,2,0
931,NIS1,2,0
932,NKP1,1,1
933,NKP2,2,0
934,NMD2,2,0
935,NMD3,2,0
936,NMD4,2,0
937,NNF1,2,0
938,NOB1,1,1
939,NOC2,2,0
940,NOC3,1,1
941,NOC4,2,0
942,NOG1,2,0
943,NOG2,2,0
944,NOP1,2,0
945,NOP10,2,0
946,NOP12,2,0
947,NOP14,2,0
948,NOP15,2,0
949,NOP19,2,0
950,NOP2,2,0
951,NOP4,2,0
952,NOP53,2,0
953,NOP56,2,0
954,NOP58,2,0
955,NOP7,1,1
956,NOP8,2,0
957,NOT3,2,0
958,NOT5,2,0
959,NPA3,2,0
960,NPL3,2,0
961,NPL4,2,0
962,NPL6,2,0
963,NPR2,2,0
964,NPR3,2,0
965,NRD1,2,0
966,NRM1,1,1
967,NSA1,2,0
968,NSA2,1,1
969,NSE1,2,0
970,NSE3,2,0
971,NSE4,2,0
972,NSE5,2,0
973,NSG1,2,0
974,NSI1,1,1
975,NSL1,2,0
976,NSP1,2,0
977,NTC20,2,0
978,NTG2,2,0
979,NTH1,2,0
980,NTR2,2,0
981,NUF2,2,0
982,NUG1,2,0
983,NUM1,2,0
984,NUP1,1,1
985,NUP100,2,0
986,NUP116,2,0
987,NUP120,2,0
988,NUP133,2,0
989,NUP145,2,0
990,NUP157,1,1
991,NUP159,2,0
992,NUP170,2,0
993,NUP188,1,1
994,NUP192,2,0
995,NUP2,2,0
996,NUP42,1,1
997,NUP49,2,0
998,NUP53,2,0
999,NUP57,2,0
1000,NUP60,2,0
1001,NUP82,1,1
1002,NUP84,2,0
1003,NUP85,2,0
1004,NUR1,2,0
1005,NUT1,2,0
1006,NUT2,2,0
1007,NVJ1,2,0
1008,NYV1,1,1
1009,OKP1,2,0
1010,OM45,2,0
1011,OMS1,2,0
1012,OPI1,2,0
1013,OPY2,2,0
1014,ORC1,2,0
1015,ORC2,2,0
1016,ORC3,2,0
1017,ORC4,2,0
1018,ORC5,2,0
1019,ORC6,2,0
1020,OSH2,1,1
1021,OTU1,2,0
1022,PAA1,1,1
1023,PAB1,1,1
1024,PAC1,2,0
1025,PAC10,2,0
1026,PAC11,2,0
1027,PAC2,2,0
1028,PAF1,2,0
1029,PAH1,2,0
1030,PAM16,2,0
1031,PAM17,2,0
1032,PAM18,2,0
1033,PAN1,2,0
1034,PAP1,2,0
1035,PAP2,2,0
1036,PAT1,2,0
1037,PBA1,2,0
1038,PBP1,2,0
1039,PBP4,2,0
1040,PBS2,1,1
1041,PCF11,2,0
1042,PCI8,2,0
1043,PCL1,2,0
1044,PCL10,2,0
1045,PCL2,2,0
1046,PCL5,2,0
1047,PCL6,2,0
1048,PCL7,2,0
1049,PCL8,2,0
1050,PCL9,2,0
1051,PDP3,2,0
1052,PDR1,2,0
1053,PDS1,2,0
1054,PDS5,2,0
1055,PEA2,2,0
1056,PEP3,1,1
1057,PEP5,2,0
1058,PEP7,2,0
1059,PEP8,2,0
1060,PET100,1,1
1061,PET117,1,1
1062,PET123,1,1
1063,PET309,2,0
1064,PET9,2,0
1065,PEX1,2,0
1066,PEX10,2,0
1067,PEX11,2,0
1068,PEX12,2,0
1069,PEX13,2,0
1070,PEX14,2,0
1071,PEX15,2,0
1072,PEX17,2,0
1073,PEX18,1,1
1074,PEX19,1,1
1075,PEX2,2,0
1076,PEX21,2,0
1077,PEX3,2,0
1078,PEX5,2,0
1079,PEX6,2,0
1080,PEX7,1,1
1081,PEX8,2,0
1082,PFA3,2,0
1083,PFK27,2,0
1084,PFS1,1,1
1085,PFS2,2,0
1086,PFY1,1,1
1087,PGD1,2,0
1088,PHB1,1,1
1089,PHB2,1,1
1090,PHO2,1,1
1091,PHO23,2,0
1092,PHO4,1,1
1093,PHO80,2,0
1094,PHO81,2,0
1095,PHO85,1,1
1096,PIB2,1,1
1097,PIH1,2,0
1098,PIK1,2,0
1099,PIN3,2,0
1100,PKC1,1,1
1101,PMS1,2,0
1102,PNG1,2,0
1103,PNO1,2,0
1104,POA1,2,0
1105,POB3,2,0
1106,POL1,2,0
1107,POL12,2,0
1108,POL2,2,0
1109,POL3,1,1
1110,POL30,2,0
1111,POL31,2,0
1112,POL32,1,1
1113,POM152,2,0
1114,POM34,2,0
1115,POP2,2,0
1116,POR1,1,1
1117,POT1,1,1
1118,PPH21,2,0
1119,PPH22,2,0
1120,PPH3,1,1
1121,PPT1,1,1
1122,PPZ1,2,0
1123,PRC1,2,0
1124,PRE1,2,0
1125,PRE10,2,0
1126,PRE2,2,0
1127,PRE3,2,0
1128,PRE4,2,0
1129,PRE5,1,1
1130,PRE6,2,0
1131,PRE7,1,1
1132,PRE8,2,0
1133,PRE9,1,1
1134,PRI1,2,0
1135,PRI2,2,0
1136,PRK1,2,0
1137,PRP11,1,1
1138,PRP16,2,0
1139,PRP19,2,0
1140,PRP2,2,0
1141,PRP21,2,0
1142,PRP22,2,0
1143,PRP24,2,0
1144,PRP3,2,0
1145,PRP31,2,0
1146,PRP38,1,1
1147,PRP39,2,0
1148,PRP4,2,0
1149,PRP40,1,1
1150,PRP42,2,0
1151,PRP43,2,0
1152,PRP45,2,0
1153,PRP46,2,0
1154,PRP5,2,0
1155,PRP6,2,0
1156,PRP8,2,0
1157,PRP9,2,0
1158,PRT1,2,0
1159,PSE1,2,0
1160,PSF1,2,0
1161,PSF2,1,1
1162,PSF3,2,0
1163,PSH1,2,0
1164,PSY2,2,0
1165,PSY3,1,1
1166,PSY4,2,0
